SL_BusinessType,SL_BusinessTypeGroup,SL_CityArea,SL_LocCity
אביזרי אופנה,אביזרי אופנה,אילת,אבו גוש
אומנות,אופטיקה,אשקלון ובאר שבע,אבו סנאן
אופטיקה,בריאות יופי ואסתטיקה,גוש דן,אבן יהודה
אופניים ואופנועים,בית מרקחת ובתי טבע,גליל עליון וכנרת,אבן ספיר
אטרקציות ומוזיאונים,הלבשה,העמקים ובקעת הירדן,אודים
אלקטרוניקה וציוד תקשורת,הנעלה,השפלה,אום אל-פחם
בנה ביתך,"חשמל, אלקטרוניקה ומחשבים",השרון,אופקים
בתי הארחה ואירוח כפרי,יעוץ משפטי ופיננסי,חיפה והגליל,אור יהודה
בתי מלון,"לימודים, פנאי ותרבות",ירושלים וים המלח,אור עקיבא
בתי מרקחת,מינימרקטים סופרמרקטים ומזון,,אורה
בתי קפה,מסעדות ובתי קפה,,אורנית
הלבשה לילדים ונוער,ציוד והלבשת ספורט,,אזור
הלבשה לכל המשפחה,צעצועים ומוצרים לתינוק,,אחיהוד
הלבשה תחתונה,צרכי משרד,,אחיעזר
הלבשת גברים,"ריהוט, בית וגן",,אייל
הלבשת נשים,רכב ותחבורה,,אילת
הנעלה,תיירות,,אכסאל
השכרת רכב,,,אלומות
וידאו ו DVD,,,אלון מורה
חיות מחמד,,,אליכין
חמרי בנין וריצוף,,,אלעד
טקסטיל,,,אלפי מנשה
יעוץ משפטי ופיננסי,,,אלקנה
"כובעים, כיפות  ופאות",,,אמונים
כלי בית ומתנות,,,אעבלין
כלי נגינה,,,אפיקים
כספות דלתות ובטחון,,,אפרתה
כתבי עת ירחונים וספרים,,,ארגמן
לימודים והכשרות,,,ארז
מוסיקה,,,אריאל
מוסכים ושירותים,,,אשדוד
מועדוני ספורט כושר וספא,,,אשדות יעקב איחוד
מוצרי חשמל,,,אשקלון
מוצרים לבית ולגן,,,אשתאול
מזון ומוצרים מהטבע,,,באקה אל-גרביה
מחנאות וציוד למתגייס,,,באר טוביה
מחשבים,,,באר יעקב
מטבחים וריהוט,,,באר שבע
מיזוג אויר,,,בארות יצחק
מכבסות וניקוי יבש,,,בארותיים
מכוני יופי וקוסמטיקה,,,בוסתן הגליל
מכונים ושרותים רפואיים,,,בועיינה-נוג'ידאת
מסיבות ואירועים,,,ביר אל-מכסור
מסעדות,,,בית אל
מעדניות,,,בית ברל
מרפאות שיניים,,,בית ג'אן
משקאות וטבק,,,בית דגן
סופרמרקטים,,,בית העמק
סופרמרקטים,,,בית חרות
עיצוב שיער,,,בית חשמונאי
ציוד והלבשת ספורט,,,בית יהושע
ציוד משרדי,,,בית ינאי
צילום ופיתוח,,,בית יצחק-שער חפר
צעצועים ומוצרים לתינוק,,,בית לחם הגלילית
קולנוע תיאטראות ומופעים,,,בית נחמיה
קונדיטוריות ומאפה,,,בית שאן
רכב - אביזרים ורחיצה,,,בית שמש
תאורה,,,בית שקמה
תחביבים,,,"בית""ר עילית"
תחנות דלק,,,ביתן אהרן
תיירות פנים וחוץ,,,בני ברק
תכשיטים ושעונים,,,בני דרור
תשמישי קדושה וכלי כסף,,,"בני עי""ש"
,,,בנימינה
,,,בסמת טבעון
,,,בענה
,,,בצרה
,,,ברטעה
,,,ברקאי
,,,בת הדר
,,,בת ים
,,,בת שלמה
,,,ג'דיידה-מכר
,,,ג'ולס
,,,ג'לג'וליה
,,,ג'ת
,,,גאליה
,,,גבעת ברנר
,,,גבעת זאב
,,,גבעת עדה
,,,גבעת שמואל
,,,גבעתיים
,,,גדרה
,,,גוש חלב
,,,גליל ים
,,,גן יבנה
,,,גן שמואל
,,,גני תקווה
,,,געש
,,,גשר הזיו
,,,גת
,,,דאלית אל-כרמל
,,,דבוריה
,,,דורות
,,,דימונה
,,,דיר אל-אסד
,,,דיר חנא
,,,דלתון
,,,הגושרים
,,,הוד השרון
,,,הזורע
,,,הר אדר
,,,הרצליה
,,,זובידאת
,,,זכרון יעקב
,,,זכריה
,,,זלפה
,,,זמר
,,,זרזיר
,,,חגור
,,,חדרה
,,,חולון
,,,חורה
,,,חורשים
,,,חיבת ציון
,,,חיפה
,,,חמד
,,,חצור
,,,חצור הגלילית
,,,חרות
,,,חרפיש
,,,טבריה
,,,טורעאן
,,,טייבה במשולש
,,,טירה
,,,טירת כרמל
,,,טללים
,,,טמרה
,,,יבנאל
,,,יבנה
,,,יגור
,,,יד בנימין
,,,יד מרדכי
,,,"יד רמב""ם"
,,,ידידיה
,,,יהוד
,,,יטבתה
,,,יסוד המעלה
,,,יסעור
,,,יפיע
,,,יציץ
,,,יקום
,,,יקיר
,,,יקנעם עילית
,,,יקנעם-מושבה
,,,ירוחם
,,,ירושלים
,,,ירכא
,,,כאבול
,,,כאוכב אל-היג'א
,,,כוכב יאיר
,,,כוכב יעקב
,,,כנות
,,,כנרת-מושבה
,,,כפר אדומים
,,,כפר ביאליק
,,,"כפר ביל""ו"
,,,כפר ברא
,,,"כפר הרא""ה"
,,,כפר ויתקין
,,,כפר חיטים
,,,כפר חיים
,,,כפר יאסיף
,,,כפר יונה
,,,כפר כמא
,,,כפר כנא
,,,כפר מונש
,,,כפר מנדא
,,,כפר מסריק
,,,כפר סבא
,,,כפר קאסם
,,,כפר קרע
,,,כפר שמריהו
,,,כפר תבור
,,,כרמיאל
,,,להבות הבשן
,,,להבים
,,,לוד
,,,לימן
,,,לפיד
,,,מבועים
,,,מבשרת ציון
,,,מג'ד אל-כרום
,,,מג'דל שמס
,,,מגאר
,,,מגדל העמק
,,,מודיעין
,,,מודיעין עילית
,,,מוצמוץ
,,,מושיירפה
,,,מזכרת בתיה
,,,מחניים
,,,מיתר
,,,מכבים
,,,מכמורת
,,,מנרה
,,,מסמיה
,,,מסעדה
,,,מעלה אדומים
,,,מעלה עירון
,,,מעלות-תרשיחא
,,,מעליא
,,,מצליח
,,,מצפה רמון
,,,משאבי שדה
,,,משגב
,,,משהד
,,,משמר הירדן
,,,משמר השבעה
,,,משמר השרון
,,,מתן
,,,נהלל
,,,נהריה
,,,נווה דניאל
,,,נווה מבטח
,,,נוף הגליל
,,,נופך
,,,נחף
,,,ניצני עוז
,,,ניר עקיבא
,,,ניר צבי
,,,נס ציונה
,,,נען
,,,נצר סרני
,,,נצרת
,,,נצרת עילית
,,,נשר
,,,נתיבות
,,,נתניה
,,,סביון
,,,סחנין
,,,עומר
,,,עזר
,,,עזריאל
,,,עילבון
,,,עילוט
,,,עין איברהים
,,,עין בוקק
,,,עין הבשור
,,,עין הוד
,,,עין המפרץ
,,,עין יהב
,,,"עין כרם-בי""ס חקלא"
,,,עין כרמל
,,,עין מאהל
,,,עין נקובא
,,,עין צורים
,,,עין שמר
,,,עין תמר
,,,עינת
,,,עכו
,,,עספיא
,,,עפולה
,,,עפולה עילית
,,,עץ אפרים
,,,עראבה
,,,ערד
,,,ערוגות
,,,ערערה
,,,עתלית
,,,פוריידיס
,,,פורת
,,,פסוטה
,,,פקיעין
,,,פרדס חנה-כרכור
,,,פרדסיה
,,,פתח תקוה
,,,צופין
,,,צור הדסה
,,,צור יגאל
,,,צורן
,,,צנדלה
,,,צפריה
,,,צפרירים
,,,צפת
,,,קדומים
,,,קדימה
,,,קיסריה
,,,קלנסווה
,,,קציר-חריש
,,,קצרין
,,,קרית אונו
,,,קרית אתא
,,,קרית ביאליק
,,,קרית גת
,,,קרית חיים
,,,קרית טבעון
,,,קרית ים
,,,קרית מוצקין
,,,קרית מלאכי
,,,קרית עקרון
,,,קרית שמונה
,,,קרני שומרון
,,,ראמה
,,,ראש העין
,,,ראש פינה
,,,ראשון לציון
,,,רגבה
,,,רהט
,,,רחובות
,,,ריינה
,,,רינתיה
,,,רכסים
,,,רמות
,,,רמות השבים
,,,רמלה
,,,רמת אפעל
,,,רמת גן
,,,רמת השרון
,,,רמת ישי
,,,רעות
,,,רעננה
,,,רשפון
,,,שגב שלום
,,,שדה ורבורג
,,,שדה עוזיהו
,,,שדרות
,,,שוהם
,,,שילת
,,,שלומי
,,,שמרת
,,,שעלבים
,,,שער אפרים
,,,שער מנשה
